id,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat
43387,Opel,Astra,1.6 Cosmo,2007.0,165000.0,Düz,Benzin,Hatchback/5,Gri,1598.0,115.0,1.0,0.0,Galeriden,510000.0
43388,Opel,Corsa,1.4 Twinport Active,2014.0,83000.0,Otomatik,Benzin,Hatchback/5,Mavi,1300.0,88.0,0.0,0.0,Galeriden,805000.0
43389,Opel,Vectra,2.0 GLS,1994.0,415000.0,Düz,LPG & Benzin,Sedan,Beyaz,1998.0,115.0,0.0,0.0,Sahibinden,280000.0
43390,Opel,Astra,1.6 Enjoy,2009.0,218000.0,Düz,Benzin,Hatchback/5,Mavi,1598.0,115.0,1.0,6.0,Galeriden,490000.0
43391,Opel,Astra,1.3 CDTI Enjoy,2010.0,245000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1300.0,88.0,0.0,1.0,Galeriden,605000.0
43392,Opel,Insignia,1.4 T Edition Elegance,2012.0,76000.0,Düz,Benzin,Sedan,Lacivert,1364.0,140.0,0.0,0.0,Sahibinden,865000.0
43393,Opel,Insignia,2.0 T Cosmo,2012.0,217500.0,Otomatik,Benzin,Sedan,Siyah,1900.0,213.0,2.0,8.0,Galeriden,775000.0
43394,Opel,Astra,1.6 CDTI Excellence,2016.0,170000.0,Otomatik,Benzin,Hatchback/5,Lacivert,1598.0,136.0,1.0,7.0,Galeriden,980000.0
43395,Opel,Corsa,1.3 CDTI Enjoy,2011.0,191000.0,Düz,Benzin,Hatchback/5,Siyah,1300.0,63.0,0.0,2.0,Galeriden,470000.0
43396,Opel,Astra,1.6 CDTI Design,2016.0,235000.0,Otomatik,Benzin,Sedan,Gri,1598.0,136.0,0.0,0.0,Galeriden,745000.0
43398,Opel,Astra,2.0 GSi,1996.0,250000.0,Düz,Benzin,Hatchback/5,Sarı,1998.0,150.0,0.0,0.0,Galeriden,205000.0
43399,Opel,Corsa,1.3 CDTI Essentia,2011.0,189000.0,Düz,Benzin,Hatchback/5,Beyaz,1300.0,63.0,2.0,3.0,Galeriden,385000.0
43400,Opel,Astra,1.6 GL,2001.0,230000.0,Düz,Benzin,Sedan,Mavi,1598.0,100.0,1.0,0.0,Galeriden,365000.0
43401,Opel,Astra,1.3 CDTI Enjoy 111.Yıl,2011.0,215000.0,Düz,Benzin,Sedan,Gri,1300.0,88.0,2.0,2.0,Galeriden,525000.0
43402,Opel,Insignia,1.6 Edition,2011.0,265000.0,Düz,Benzin,Sedan,Füme,1500.0,113.0,0.0,0.0,Galeriden,550000.0
43403,Opel,Astra,1.6 Essentia,2012.0,163500.0,Düz,Benzin,Hatchback/5,Beyaz,1500.0,113.0,1.0,1.0,Yetkili Bayiden,580000.0
43405,Opel,Astra,1.6 GLS,1997.0,304000.0,Düz,Benzin,Sedan,Kahverengi,1598.0,100.0,1.0,4.0,Galeriden,315000.0
43406,Opel,Astra,1.6 Comfort,2003.0,71000.0,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1598.0,100.0,1.0,1.0,Sahibinden,505000.0
43407,Opel,Corsa,1.0 Essentia,2004.0,190000.0,Düz,Benzin,Hatchback/5,Gri,1200.0,63.0,0.0,0.0,Galeriden,260000.0
43408,Opel,Astra,1.6 Essentia Konfor,2013.0,173000.0,Yarı Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1598.0,115.0,0.0,3.0,Sahibinden,651900.0
43409,Opel,Vectra,2.0 CD,1997.0,330000.0,Otomatik,Benzin,Sedan,Kahverengi,1998.0,136.0,0.0,0.0,Galeriden,257500.0
